Aspect;BAI_max;BAI_mediana;BAI_min;BAI_moda;BAIstdDev;ET_max;ET_mediana;ET_min;ET_moda;ETstdDev;Elevation;Fpar_500m_max;Fpar_500m_mediana;Fpar_500m_min;Fpar_500m_moda;Fpar_500mstdDev;Lai_500m_max;Lai_500m_mediana;Lai_500m_min;Lai_500m_moda;Lai_500mstdDev;MeanCurvature;NDVI_max;NDVI_mediana;NDVI_min;NDVI_moda;NDVIstdDev;SRI_max;SRI_mediana;SRI_min;SRI_moda;SRIstdDev;TWI;Temp_C_max;Temp_C_mediana;Temp_C_min;Temp_C_moda;Temp_CstdDev;accessibility;averageAnnualETP;averageAnnualPalmer;averageAnnualPrecip;averageAnnualRadiacion;averageAnnualTemp;averageAnnualViento;averageSpringETP;averageSpringPalmer;averageSpringPrecip;averageSpringRadiacion;averageSpringTemp;averageSpringViento;averageSummerETP;averageSummerPalmer;averageSummerPrecip;averageSummerRadiacion;averageSummerTemp;averageSummerViento;clase;classification;frequency_buerned;population_count;precipitation_max;precipitation_mediana;precipitation_min;precipitation_moda;precipitationstdDev;slope
14,9385358;2,13927E-07;1,62258E-07;1,32877E-07;1,46316E-07;2,80947E-08;23,1;17,3;13,4;13,4;2,605549633;229,3173744;62;56;53;54;2,848781416;19;15;13;15;1,583245612;-2,60434E-06;0,767726183;0,639785171;0,586458683;0,643615305;0,050145901;7,610526085;4,552870274;3,836276054;4,611913204;0,998059696;10,20097302;36,93;29,14;11,63;26,33666667;5,647506215;2,774113417;39,93472222;-1,602083333;715,5842298;185,5055556;22,2636157;2,982222222;69,26111111;-1,348888889;43,4465662;215,4722222;20,26463754;3,113333333;23,00555556;-1,858333333;10,00031678;292,6277778;30,57041859;3,284444444;1;0,587827868;0;0,098670205;11,80557156;0;0;0;1,895113671;1,972943306
238,2408942;1,99995E-07;1,36721E-07;9,19287E-08;1,24803E-07;3,12708E-08;46,9;40,3;20,8;20,8;7,654268236;267,8256355;92;89;86;89;1,181336343;65;62;47;62;4,176122604;1,95466E-06;0,851317465;0,818786383;0,787733018;0,808544815;0,022192077;12,45147705;10,03669739;8,422096252;9,44630909;1,40580076;9,276990032;26,93;22,14;11,23;20,46333333;3,549675171;26,81203079;43,24027778;-1,903333333;654,380149;184,0138889;17,96371622;3,767777778;66,60555556;-1,759444444;45,70633242;210,4;16,95715967;3,806666667;37,1;-2,276111111;9,956543326;286,6166667;23,18407511;4,025;1;0,529366963;0;0,037344229;13,23027039;0;0;0;1,715368276;9,846721649
89,64293598;1,39516E-07;1,1846E-07;9,34279E-08;1,00095E-07;1,70119E-08;47,9;37,7;21,7;21,7;7,373544301;356,7966245;86;79;61;78;5,289822513;46;35;23;30;6,013318551;1,5099E-06;0,847375691;0,812616825;0,761035502;0,788603961;0,028517445;12,10407257;9,698280334;7,36944437;8,460916519;1,530521099;10,38993635;31,33;24,75;5,47;17,81;5,212718248;24,04756355;42,73333333;-1,854722222;765,8240503;183,0375;19,51553934;3,575555556;67,86666667;-1,677222222;51,4321576;210,3444444;18,19243857;3,628333333;33,92777778;-2,266666667;11,30115536;287,6722222;25,88661089;3,827222222;1;0,618565929;0;0;16,73583603;0;0;0;2,079394163;3,264226913
186,5763629;1,80369E-07;1,38468E-07;8,491E-08;1,08187E-07;2,81692E-08;48,7;40,2;24,9;40,2;7,52238142;321,5586339;90;89;80;89;2,497999199;65;62;48;62;4,592747907;-9,60754E-06;0,841444254;0,817662656;0,783439517;0,816816807;0,016746812;11,61386108;9,968917847;8,235294342;9,918032646;0,951467068;13,25031534;30,69;23,67;8,55;23,53;4,818033199;146,1703491;43,475;-1,919444444;713,9460556;183,6458333;18,2970622;3,681666667;67,78333333;-1,753333333;48,01970769;211,7;17,37263788;3,748333333;36,7;-2,322777778;11,71776609;286,8;23,79232527;3,945;1;0,533034587;0;0;15,44015694;0;0;0;2,096499014;11,84744549
293,0937742;2,32515E-07;1,62243E-07;1,20472E-07;1,20472E-07;3,24618E-08;44,6;37,2;17,7;40,9;7,349255442;171,1039677;95;87;39;87;13,18989512;66;54;14;51;11,87976805;3,10142E-06;0,860040545;0,832190394;0,802391469;0,802391469;0,015021143;13,289855;10,91826916;9,121019363;9,121019363;1,058713329;8,023911789;26,13;19,95;9,89;19,95;3,28365636;39,26810455;46,28472222;-2,000833333;714,0584468;181,3527778;16,56422747;3,797361111;67,79444444;-1,688888889;46,52658848;208,2777778;15,94377878;3,854444444;44,98888889;-2,433333333;10,66905213;283,3611111;21,06323838;4,071111111;1;0,554319733;0;0;22,64100456;0;0;0;2,561657532;8,638408661
127,9943646;3,10498E-07;1,95031E-07;1,5631E-07;1,87295E-07;4,91035E-08;22,8;16,35;10,8;10,8;3,134697199;1855,862713;59;52;7;54;17,12645776;16;13;1;14;4,962078418;-6,45113E-06;0,462272853;0,351523727;0,182218656;0,458094925;0,080944043;2,719358444;2,084152937;1,445641518;2,690683126;0,389483857;9,429813046;39,67;28,67666667;-2,17;31,87666667;8,919943298;162,2831879;40,01527778;-2,065416667;2797,112131;174,4611111;19,31953261;3,54125;71,91666667;-2,123333333;347,6711829;194,3055556;12,00314784;3,717777778;38,70555556;-2,165555556;119,6525644;280,3666667;30,54482321;3,567222222;1;0,367598162;0;0;107,5015182;0;0;0;16,60189535;4,259862423
162,425697;1,44732E-07;9,92455E-08;6,72821E-08;1,02152E-07;1,86998E-08;31,5;24,5;14,4;14,4;4,897482346;470,536585;77;68;52;62;7,082372484;33;24;15;19;5,018189138;-2,05884E-05;0,786848068;0,708266675;0,594673753;0,65944773;0,056167828;8,382978439;5,855576038;3,934297085;4,872814178;1,368617647;10,19139787;37,35;29,57166667;12,47;24,07666667;5,296896516;28,92360497;52,66388889;-2,158055556;987,2051601;182,3583333;22,78360847;2,022083333;77,76666667;-1,937777778;67,48692406;208;21,66247497;2,248888889;65,91111111;-2,290555556;13,09212972;285,4555556;30,39808487;2,303888889;1;0,556164178;0;0,026201104;19,37384987;0;0;0;2,920312155;0,996256053
336,8821139;1,73417E-07;1,20489E-07;8,95555E-08;1,19764E-07;2,26883E-08;25,4;19,05;12,8;12,8;3,506619105;698,9364362;70;62;51;62;4,674279505;27;21;12;19;3,418901708;-2,05104E-05;0,723110437;0,659112215;0,602706015;0,621434748;0,034437937;6,223097324;4,867091179;4,03405571;4,283104897;0,613459164;16,34184524;33,69;27,69;9,57;29,05;5,58585245;32,96813965;53,66527778;-2,172777778;1087,389772;183,2555556;21,49649877;2,155277778;78,13888889;-1,957777778;82,38197308;210,0777778;20,56532012;2,395;67,77222222;-2,289444444;15,73640744;286,3722222;29,34890118;2,404444444;1;0,540815412;0;0,084217834;21,47542572;0;0;0;3,625916727;5,043853283
297,7251647;1,72885E-07;1,29728E-07;9,2815E-08;1,31376E-07;2,46549E-08;24,3;15,7;8,4;8,4;5,189073991;132,0502123;75;51;39;39;11,62296577;27;13;8;8;5,670978752;-5,87718E-07;0,722783089;0,495247453;0,429760009;0,459108859;0,101624668;6,214566708;2,962337732;2,507295132;2,697601557;1,249039769;11,73632566;38,25;32,45;16,31;30,17;5,052305373;4,325336456;35,86666667;-1,377222222;796,005023;181,9027778;24,88777146;1,991666667;66,3;-1,076111111;60,27897762;208,2777778;22,3995894;2,213888889;17,47777778;-1,616666667;12,40634074;292,5166667;32,30460334;2,341666667;1;0,925804126;0;2,189034757;16,67584229;0;0;0;2,728722323;0,42509222
289,2849214;2,0132E-07;1,6529E-07;1,34583E-07;1,44701E-07;2,32099E-08;20,9;12,8;7,3;10,4;3,277031177;137,9177228;58;43;37;40;6,464948225;16;11;9;9;2,385139176;-6,3657E-07;0,646820009;0,49222064;0,421482772;0,421482772;0,08331805;4,662835121;2,938718557;2,457113981;2,457113981;0,797424478;20,01093715;38,77;32,758;16,35;32,806;5,365162602;4,830274582;35,86666667;-1,377222222;796,005023;181,9027778;25,07704798;1,991666667;66,3;-1,076111111;60,27897762;208,2777778;22,3981012;2,213888889;17,47777778;-1,616666667;12,40634074;292,5166667;32,70814994;2,341666667;1;0,889496343;0;0,366490207;16,67584229;0;0;0;2,728722323;0,327355027
294,0997378;1,72885E-07;1,29728E-07;9,2815E-08;1,31376E-07;2,46549E-08;24,3;15,7;8,4;8,4;5,189073991;134,8563061;75;51;39;39;11,62296577;27;13;8;8;5,670978752;-6,16857E-07;0,722783089;0,495247453;0,429760009;0,459108859;0,101624668;6,214566708;2,962337732;2,507295132;2,697601557;1,249039769;12,0085826;38,25;32,45;16,31;30,17;5,052305373;4,457118511;35,86666667;-1,377222222;796,005023;181,9027778;24,88777146;1,991666667;66,3;-1,076111111;60,27897762;208,2777778;22,3995894;2,213888889;17,47777778;-1,616666667;12,40634074;292,5166667;32,30460334;2,341666667;1;0,921626498;0;0,505519547;16,67584229;0;0;0;2,728722323;0,485659957
291,6756343;1,25457E-07;9,94716E-08;7,33465E-08;9,94716E-08;1,45341E-08;25,8;17,7;10,7;10,7;3,876057562;147,5462155;67;56;45;50;6,917289129;19;15;10;12;3,050682984;-6,01514E-08;0,717882693;0,596344233;0,518763781;0,574588478;0,067369417;6,089249611;3,954716921;3,155963421;3,701330185;1,020090933;11,76153212;38,43;32;15,89;32,95666667;5,093505432;5,821754456;36,04444444;-1,400833333;785,5172093;181,8430556;24,35416169;1,971805556;66,97222222;-1,125;62,62773704;208,7666667;21,60398101;2,209444444;17,92777778;-1,622777778;12,04923011;291,7111111;31,43406149;2,319444444;1;0,860198942;0;0,515188878;13,13540554;0;0;0;2,554762589;0,207258433
294,0997378;1,72885E-07;1,29728E-07;9,2815E-08;1,31376E-07;2,46549E-08;24,3;15,7;8,4;8,4;5,189073991;134,8563061;75;51;39;39;11,62296577;27;13;8;8;5,670978752;-6,16857E-07;0,722783089;0,495247453;0,429760009;0,459108859;0,101624668;6,214566708;2,962337732;2,507295132;2,697601557;1,249039769;12,0085826;38,25;32,45;16,31;30,17;5,052305373;4,457118511;35,86666667;-1,377222222;796,005023;181,9027778;24,88777146;1,991666667;66,3;-1,076111111;60,27897762;208,2777778;22,3995894;2,213888889;17,47777778;-1,616666667;12,40634074;292,5166667;32,30460334;2,341666667;1;0,921626498;0;0,505519547;16,67584229;0;0;0;2,728722323;0,485659957
304,5198334;1,58963E-07;1,21076E-07;8,73191E-08;1,20191E-07;1,72895E-08;;;;;;136,4155308;;;;;;;;;;;-1,91162E-07;0,593641639;0,434515864;0,338509321;0,338509321;0,093519644;3,921763897;2,536792517;2,023474216;2,023474216;0,708572809;11,56993587;38,49;32,56;16,33;30,17;5,285733576;5,150672913;35,86666667;-1,377222222;796,005023;181,9027778;25,36231456;1,991666667;66,3;-1,076111111;60,27897762;208,2777778;22,7040583;2,213888889;17,47777778;-1,616666667;12,40634074;292,5166667;32,8126856;2,341666667;1;;0;2,801885529;16,67584229;0;0;0;2,728722323;0,251027048
287,0191233;1,1666E-07;8,78902E-08;6,27023E-08;8,19313E-08;1,26924E-08;24,3;14,7;7,6;7,6;4,817163758;156,5659635;71;52;39;41;10,50840933;20;11;7;9;4,287449384;-8,5867E-08;0,802816927;0,594120443;0,431419075;0,504079759;0,116680862;9,142857552;3,927570105;2,517529249;3,032906771;1,964482774;15,09449884;37,57;31,515;16,01;32,43;4,954762252;6,845454216;36,04444444;-1,400833333;785,5172093;181,8430556;24,29769273;1,971805556;66,97222222;-1,125;62,62773704;208,7666667;21,69184695;2,209444444;17,92777778;-1,622777778;12,04923011;291,7111111;31,37770683;2,319444444;1;0,824223175;0;0,198143079;13,13540554;0;0;0;2,554762589;0,19230774
289,8350166;1,47271E-07;8,20171E-08;5,631E-08;7,19846E-08;2,15655E-08;27,2;21;12,6;21;3,831704002;194,9878215;70;62;42;62;6,216823054;19;16;10;16;2,072036036;8,67215E-08;0,750927389;0,712954342;0,654149711;0,712954342;0,032015424;7,029787064;5,967532635;4,782849312;5,967532635;0,723597321;13,2140559;34,77;30,17;16,13;31,065;3,918728413;8,406925201;38,00694444;-1,620972222;838,6961162;180,1708333;23,72981021;1,948055556;70,40555556;-1,604444444;66,71779034;205,2222222;23,16316783;2,179444444;21,95555556;-1,900555556;12,31465674;290,4388889;29,7993442;2,292222222;1;0,709995999;0;0,109654723;14,44547367;0;0;0;2,639605586;0,290963531
277,9911446;1,42537E-07;1,06273E-07;7,88087E-08;1,00366E-07;1,38913E-08;19,6;13,8;8,3;8,3;2,981379248;128,6386799;59;49;40;50;5,760401221;17;12;9;10;2,70472837;-6,08736E-07;0,619283736;0,489892989;0,441583097;0,464920938;0,058845798;4,253256321;2,92074585;2,581553459;2,737765551;0,556834141;11,10843037;36,79;31,55666667;16,93;29,675;4,475744683;3,731209755;35,80972222;-1,352638889;796,005023;182,3416667;24,51349646;2,025694444;65,65555556;-1,030555556;60,27897762;208,7;22,27363436;2,23;17,18888889;-1,580555556;12,40634074;293;31,71470912;2,367777778;1;0,85765383;0;10,82853717;16,67584229;0;0;0;2,728722323;0,398240656
289,2849214;2,0132E-07;1,6529E-07;1,34583E-07;1,44701E-07;2,32099E-08;20,9;12,8;7,3;10,4;3,277031177;137,9177228;58;43;37;40;6,464948225;16;11;9;9;2,385139176;-6,3657E-07;0,646820009;0,49222064;0,421482772;0,421482772;0,08331805;4,662835121;2,938718557;2,457113981;2,457113981;0,797424478;20,01093715;38,77;32,758;16,35;32,806;5,365162602;4,830274582;35,86666667;-1,377222222;796,005023;181,9027778;25,07704798;1,991666667;66,3;-1,076111111;60,27897762;208,2777778;22,3981012;2,213888889;17,47777778;-1,616666667;12,40634074;292,5166667;32,70814994;2,341666667;1;0,889496343;0;0,366490207;16,67584229;0;0;0;2,728722323;0,327355027
291,2439554;1,11679E-07;9,27363E-08;6,22499E-08;8,40384E-08;1,26416E-08;23,4;17,9;10,9;18,7;3,124483957;189,3725276;65;56;51;55;4,223742416;17;14;11;12;1,806162291;-1,2002E-07;0,766454339;0,672836423;0,575252533;0,617441595;0,053821065;7,563636303;5,113149643;3,708680153;4,227959633;1,110632767;13,17929146;34,31;29,32333333;15,17;28,43666667;4,580482454;8,842977524;38,00694444;-1,620972222;838,6961162;180,1708333;23,58071918;1,948055556;70,40555556;-1,604444444;66,71779034;205,2222222;22,59795449;2,179444444;21,95555556;-1,900555556;12,31465674;290,4388889;29,98169332;2,292222222;1;0,806356058;0;0,224228586;14,44547367;0;0;0;2,639605586;0,401672333
304,5198334;1,58963E-07;1,21076E-07;8,73191E-08;1,20191E-07;1,72895E-08;;;;;;136,4155308;;;;;;;;;;;-1,91162E-07;0,593641639;0,434515864;0,338509321;0,338509321;0,093519644;3,921763897;2,536792517;2,023474216;2,023474216;0,708572809;11,56993587;38,49;32,56;16,33;30,17;5,285733576;5,150672913;35,86666667;-1,377222222;796,005023;181,9027778;25,36231456;1,991666667;66,3;-1,076111111;60,27897762;208,2777778;22,7040583;2,213888889;17,47777778;-1,616666667;12,40634074;292,5166667;32,8126856;2,341666667;1;;0;2,801885529;16,67584229;0;0;0;2,728722323;0,251027048
284,6288504;2,15621E-07;1,55238E-07;1,19582E-07;1,28746E-07;3,07966E-08;27,5;18,9;13,9;17,9;4,127436654;141,2880413;67;56;46;54;6,119549729;29;20;13;15;4,864383026;-4,46025E-07;0,63596493;0,559322059;0,512974024;0,512974024;0,044366925;4,493976116;3,538461447;3,106557369;3,106557369;0,496450685;13,02024936;38,71;32,35;16,29;26,17;5,162270279;6,61280489;35,86666667;-1,377222222;785,5172093;181,9027778;24,85441967;1,991666667;66,3;-1,076111111;62,62773704;208,2777778;22,07939023;2,213888889;17,47777778;-1,616666667;12,04923011;292,5166667;32,36955647;2,341666667;1;0,818557723;0;0,261215472;13,13540554;0;0;0;2,554762589;0,588633358
272,5249718;9,86434E-08;7,80215E-08;5,02167E-08;8,49678E-08;1,2943E-08;31,1;18,7;8;18,7;6,32811715;210,3119269;79;58;43;43;12,24853733;28;14;9;10;6,162971866;1,02661E-07;0,846846819;0,662209034;0,471918315;0,515769958;0,141041374;12,05882359;4,92082119;2,787292719;3,130268097;3,590554152;15,40774989;35,11;29,41;15,77;30,455;4,44147543;18,27058029;39,25555556;-1,629027778;840,3997855;179,8597222;23,10143114;1,939027778;72,33333333;-1,630555556;66,37089143;205,4166667;21,52798621;2,175;24,86111111;-1,9;11,52242044;289,0555556;29,46365721;2,275555556;1;0,764028991;0;0,014926086;14,66201782;0;0;0;2,445723137;0,243327811
281,7953508;1,15034E-07;8,892E-08;5,37945E-08;8,83454E-08;1,34316E-08;26,6;18,8;11,3;11,3;3,933310734;179,4081436;70;60;48;48;6,907644718;19;16;11;12;2,737395356;4,40645E-08;0,783505142;0,686668336;0,570343196;0,637587249;0,070589514;8,238095284;5,383012772;3,654878139;4,518569469;1,569183733;12,2939831;36,67;30,67;14,77;32,30333333;4,564515062;5,548373222;36,40555556;-1,629027778;820,4050556;180,55;23,69700902;1,951527778;67,72222222;-1,583888889;62,42065575;205,6277778;21,91009676;2,188888889;18,59444444;-1,876666667;11,2292388;290,2833333;30,48074625;2,297222222;1;0,813590245;0;1,116954656;12,38919735;0;0;0;2,529735474;0,24338901
